Survey_StNo_HaulNo_Year,LATITUDE,LONGITUDE,Depth,Temperature,Salinity,Current_Speed,Grain_Size,Distance_to_Shore,F_LPUE,Scallop,MI_Av_E_Hr,MI_Av_LPUE,MI_Sum_Liv,Whelk,MmoAvScKwh,Cod_C,Cod_T,Cod_B,Cod_S,Haddock_C,Haddock_T,Haddock_B,Haddock_S,Plaice_C,Plaice_T,Plaice_B,Plaice_S,Whiting_C,Whiting_T,Whiting_B,Whiting_S,ComSkt_C,ComSkt_T,ComSkt_B,ComSkt_S,Blonde_C,Blonde_T,Blonde_S,C_Preds,T_Preds,B_Preds,S_Preds,Cuckoo,Thornback,Blonde,Spotted
BTS-VIIa/12/82/1993,53.95995,-3.2867,15.29,16.251,33.424,0.95,0.349609375,11704.69922,0,2287.111111,0,0,0,0.317249829,13490.21972,2,2,2,4,0,0,0,0,216,168,34,222,0,0,0,0,0,0,0,0,0,0,0,218,170,36,226,0,0,0,2
BTS-VIIa/425/104/1993,53.97245,-4.9634,46.42,14.455,34.168,0.8,0.429296875,13601.4707,0,11793.51481,0,0,0,1.715357282,10583.77024,0,0,0,0,0,0,0,0,0,0,0,0,48,14,2,48,0,0,0,0,0,0,0,48,14,2,48,0,0,0,0
BTS-VIIa/11/83/1993,54.08245,-3.3941,17.04,16.21,33.82,0.56,0.254375,8246.210938,0,638.4,0,0,0,1.388704883,4534.087343,0,0,0,0,0,0,0,0,92,70,14,92,0,0,0,0,0,0,0,0,0,0,0,92,70,14,92,0,0,0,0
BTS-VIIa/22/80/1993,54.06745,-3.7959,41.65,15.379,34.033,0.64,0.3340625,34000,25.975,638.4,0,0,0,1.388704883,4534.087343,0,0,0,0,0,0,0,0,8,8,6,8,0,0,0,0,0,0,0,0,0,0,0,8,8,6,8,0,0,0,0
BTS-VIIa/20/84/1993,54.09085,-3.59585,25.24,15.906,33.983,0.55,0.254375,21400.93359,76.52877009,638.4,0,0,0,1.388704883,4534.087343,20,0,0,26,0,0,0,0,74,36,6,74,44,40,6,48,0,0,0,0,0,0,0,138,76,12,148,0,0,0,0
BTS-VIIa/444/108/1993,54.07915,-5.53085,62.7,13.33,34.181,0.29,0.0471875,18788.29297,0,7886.733333,0,0,0,0.103841552,2834.975551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/10/86/1993,54.1858,-3.40255,10.5,15.781,33.897,0.49,0.975601563,3605.55127,0,638.4,0,0,0,1.388704883,4534.087343,0,0,0,0,0,0,0,0,306,160,22,308,4,0,0,4,0,0,0,0,0,0,0,310,160,22,312,0,0,0,0
BTS-VIIa/19/85/1993,54.13005,-3.5533,23.5,16.034,33.953,0.5,0.126875,16124.51563,101.6810359,638.4,0,0,0,1.388704883,4534.087343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/203/109/1993,54.1459,-5.81245,24.93,14.223,34.215,0.21,0.975601563,5000,0,7886.733333,0,0,0,0.103841552,2834.975551,0,0,0,0,0,0,0,0,422,22,0,660,8,0,0,10,0,0,0,0,0,0,0,430,22,0,670,0,0,0,0
BTS-VIIa/9/87/1993,54.3292,-3.48085,16.48,15.73,33.789,0.55,0.975601563,4242.640625,0,638.4,0,0,0,1.388704883,4534.087343,0,0,0,0,0,0,0,0,250,162,14,250,2,0,0,2,0,0,0,0,0,0,0,252,162,14,252,0,0,0,0
BTS-VIIa/18/90/1993,54.28915,-3.96415,14.12,15.612,33.989,0.43,0.254375,23021.72852,63.14285714,638.4,0,0,0,1.388704883,4534.087343,0,0,0,0,0,0,0,0,8,8,6,8,6,4,0,6,0,0,0,0,0,0,0,14,12,6,14,0,0,0,0
