LONGITUDE,LATITUDE,Haul_Index,F_LPUE,Depth,Temperature,Salinity,Distance_to_Shore,,Current_Speed,Cuckoo,Thornback,Blonde,Spotted
-4.2659,52.79495,BTS-VIIa/313/70/1994,0,12.36,16.688,34.126,8062.257813,,0.31,0,0,0,0
-6.1075,52.7525,BTS-VIIa/233/139/1994,0,12.1,16.097,34.243,2000,,0.8,0,0,0,0
-4.5766,52.69755,BTS-VIIa/309/134/1994,0,38.04,16.414,34.242,10770.3291,,0.58,0,2,0,0
-4.3658,52.64755,BTS-VIIa/316/69/1994,0,16.09,16.684,34.226,16492.42188,,0.41,0,0,0,0
-5.8442,52.4942,BTS-VIIa/430/140/1994,0,68.86,14.663,34.389,25298.2207,,1.4,4,2,0,0
-4.8784,52.42755,BTS-VIIa/416/68/1994,0,56,15.516,34.573,36400.55078,,0.92,0,2,0,0
-4.2959,52.38755,BTS-VIIa/321/67/1994,0,16.03,17.028,34.188,12369.31738,,0.41,0,0,0,0
-3.90995,54.05085,BTS-VIIa/22/120/1995,35.11538462,44.31,15.386,34.037,35777.08984,,0.75,0,0,0,0
-5.48915,54.1383,BTS-VIIa/444/131/1995,0,50.76,13.542,34.184,14764.82324,,0.3,0,0,0,0
-3.40255,54.1834,BTS-VIIa/10/102/1995,0,11,15.781,33.897,4242.640625,,0.49,0,0,0,0
-3.5442,54.1292,BTS-VIIa/19/101/1995,46.6822172,23.2,16.034,33.953,15811.3877,,0.5,0,0,0,0
-5.8059,54.1358,BTS-VIIa/203/132/1995,0,25.21,14.223,34.215,5830.95166,,0.21,0,0,0,0
-3.4842,54.32995,BTS-VIIa/9/103/1995,0,15.69,15.729,33.829,4242.640625,,0.52,0,0,0,0
-3.96255,54.28745,BTS-VIIa/18/119/1995,63.14285714,14.12,15.612,33.989,23021.72852,,0.43,0,0,0,0
-3.6641,54.395,BTS-VIIa/17/104/1995,0,23.23,15.965,33.661,9219.543945,,0.51,0,0,0,0
-3.6833,54.48585,BTS-VIIa/16/105/1995,0,20.98,15.939,33.403,3605.55127,,0.57,0,0,0,0
-3.6409,54.6008,BTS-VIIa/7/106/1995,0,9.04,15.882,33.21,4123.105469,,0.53,0,0,0,0
-3.96,54.59,BTS-VIIa/15/116/1995,0,31.2,16.163,33.829,20024.98438,,0.7,0,0,0,0
-3.82085,54.66245,BTS-VIIa/6/115/1995,0,21.02,16.146,33.678,15811.3877,,0.66,0,0,0,0
-4.1325,54.7267,BTS-VIIa/14/113/1995,0,21.17,15.801,33.729,5830.95166,,0.64,0,0,0,0
-3.61995,54.67495,BTS-VIIa/5/107/1995,0,15.2,15.891,33.369,3605.55127,,0.9,0,0,0,0
-4.5934,54.72,BTS-VIIa/2/111/1995,0,10.81,15.608,33.861,2828.427002,,0.83,0,0,0,0
-5.89915,53.41585,BTS-VIIa/220/137/1995,25.62103441,40.83,14.764,34.203,11313.70801,,0.69,0,0,0,0
-3.40915,53.4591,BTS-VIIa/32/84/1995,0,15.84,16.654,34.089,12165.52539,,0.81,0,0,0,0
-5.29335,53.51505,BTS-VIIa/409/139/1995,26.47727273,64.92,14.027,34.202,47169.90625,,1.07,4,0,0,0
-5.10995,53.4634,BTS-VIIa/447/142/1995,0,86.72,14.188,34.213,33837.84766,,1.21,0,0,0,0
-4.03915,53.56755,BTS-VIIa/55/78/1995,0,45.17,16.368,34.049,24758.83594,,1.09,0,0,0,0
-4.21415,53.49245,BTS-VIIa/419/79/1995,0,37.87,16.391,34.127,10630.14648,,1.38,0,0,0,0
-3.7316,53.49335,BTS-VIIa/49/77/1995,0,30.71,16.881,34.083,19416.48828,,0.85,0,0,0,0
-3.2716,53.5508,BTS-VIIa/31/98/1995,0,8.81,16.901,34.082,11000,,0.68,0,0,0,0
-3.645,53.60005,BTS-VIIa/47/97/1995,0,32.26,16.752,33.968,31622.77539,,0.83,0,0,0,0
-6.1008,53.60415,BTS-VIIa/214/136/1995,207.6338283,10.02,15.721,34.184,3162.277588,,0.43,0,0,0,0
-5.4566,53.59995,BTS-VIIa/408/138/1995,61.07107213,97.94,12.382,34.209,39293.76563,,0.81,0,0,0,0
-3.2967,53.6417,BTS-VIIa/30/89/1995,0,15.77,16.915,33.974,15652.47656,,0.67,0,0,0,0
-3.7784,53.73755,BTS-VIIa/54/96/1995,0,38.36,16.233,34.005,45276.92578,,0.86,0,0,0,0
-3.285,53.7117,BTS-VIIa/28/88/1995,0,16.54,16.79,33.816,16763.05469,,0.72,0,0,0,0
-3.1533,53.71165,BTS-VIIa/27/87/1995,0,5.07,16.82,33.021,8602.325195,,0.57,0,0,0,0
-5.8858,53.72745,BTS-VIIa/213/135/1995,61.43814433,48.22,13.594,34.186,20518.2832,,0.42,0,0,0,0
-4.2125,53.8116,BTS-VIIa/423/124/1995,0,47.2,15.656,34.074,39051.24609,,1.17,4,0,2,0
-4.785,53.75505,BTS-VIIa/401/128/1995,0,71.75,14.777,34.155,33000,,0.98,0,0,0,0
-3.42755,53.8359,BTS-VIIa/43/95/1995,0,17.37,16.539,33.877,25000,,0.79,0,0,0,0
-5.13915,53.8591,BTS-VIIa/405/129/1995,64.49907273,66.32,14.418,34.18,30479.50195,,0.61,0,0,0,0
-3.96585,53.81085,BTS-VIIa/53/123/1995,0,39.13,15.826,34.032,49244.28906,,0.99,0,0,0,0
-3.3242,53.88745,BTS-VIIa/23/94/1995,0,11.92,16.551,33.646,18000,,0.89,0,0,0,0
-6.1034,53.8716,BTS-VIIa/206/134/1995,58.54328622,28.62,14.026,34.196,10049.875,,0.23,0,0,0,0
-3.8658,53.91245,BTS-VIIa/42/122/1995,0,36.74,15.586,34.033,44721.35938,,0.85,0,0,0,0
-3.60755,53.92585,BTS-VIIa/41/121/1995,0,27.07,16.106,33.953,29410.88281,,0.73,0,0,0,0
-4.9958,54.04085,BTS-VIIa/425/130/1995,0,72.35,14.353,34.177,12041.59473,,0.69,0,0,0,0
-4.5242,53.9742,BTS-VIIa/424/125/1995,0,37.78,14.849,34.106,12083.0459,,1.34,0,0,0,0
